sno,sna,tot,sarea,lat,lng,coordinate
66,師範大學公館校區,42,文山區,25.007528,121.537188,"25.007528,121.537188"
69,興豐公園,28,文山區,24.999837,121.547778,"24.999837,121.547778"
94,捷運景美站,52,文山區,24.993254,121.541059,"24.993254,121.541059"
98,羅斯福景隆街口,28,文山區,24.999378,121.540197,"24.999378,121.540197"
104,台北花木批發市場,32,文山區,25.004023,121.54074,"25.004023,121.54074"
141,文山行政中心,24,文山區,24.989902,121.569984,"24.989902,121.569984"
142,捷運木柵站,32,文山區,24.997996,121.57444,"24.997996,121.57444"
143,捷運動物園站(2號出口),72,文山區,24.997659,121.578752,"24.997659,121.578752"
144,國立政治大學,12,文山區,24.988363,121.576536,"24.988363,121.576536"
151,考試院,24,文山區,24.987507,121.549827,"24.987507,121.549827"
166,臺北市立景美女中,20,文山區,24.980602,121.556177,"24.980602,121.556177"
171,文山運動中心,30,文山區,24.996842,121.559651,"24.996842,121.559651"
205,木柵光輝路口,24,文山區,24.988241,121.55561,"24.988241,121.55561"
206,捷運辛亥站,26,文山區,25.005386,121.55716,"25.005386,121.55716"
228,捷運萬芳社區站,32,文山區,24.998811,121.56789,"24.998811,121.56789"
247,木柵公園,24,文山區,24.987144,121.560627,"24.987144,121.560627"
262,永安藝文館-表演36房,16,文山區,24.984144,121.569064,"24.984144,121.569064"
272,忠順區民活動中心,32,文山區,24.984707,121.563125,"24.984707,121.563125"
296,萬和二號公園,32,文山區,25.001545,121.536446,"25.001545,121.536446"
315,捷運萬隆站(1號出口),32,文山區,25.001447,121.539037,"25.001447,121.539037"
335,景文中學,32,文山區,24.986301,121.567855,"24.986301,121.567855"
369,世新大學,20,文山區,24.98862,121.54361,"24.98862,121.54361"
383,一壽橋,22,文山區,24.97848,121.55545,"24.97848,121.55545"
385,和興路26巷口,30,文山區,24.9856,121.54531,"24.9856,121.54531"
388,景華街128巷口,18,文山區,24.995563,121.547092,"24.995563,121.547092"
391,景仁公園,30,文山區,24.9966,121.540295,"24.9966,121.540295"
